Class,Precision,Recall,F1 Score,Accuracy
0,0.7193836171938361,0.887,0.7944469323779668,0.887
1,0.9898373983739838,0.974,0.9818548387096774,0.974
2,0.7071029529130087,0.886,0.7865068797159344,0.886
3,0.8928571428571429,0.8,0.8438818565400844,0.8
4,0.7864693446088795,0.744,0.7646454265159301,0.744
5,0.9779179810725552,0.93,0.9533572526909277,0.93
6,0.6722817764165391,0.439,0.5311554748941318,0.439
7,0.916751269035533,0.903,0.909823677581864,0.903
8,0.9442307692307692,0.982,0.9627450980392157,0.982
9,0.9065155807365439,0.96,0.932491500728509,0.96
