Class,Precision,Recall,F1 Score,Accuracy
0,0.42618110236220474,0.433,0.42956349206349204,0.433
1,0.6440972222222222,0.742,0.6895910780669146,0.742
2,0.4741275571600481,0.394,0.4303659202621518,0.394
3,0.4585365853658537,0.47,0.4641975308641975,0.47
4,0.35017221584385766,0.305,0.3260288615713522,0.305
5,0.5540123456790124,0.718,0.6254355400696864,0.718
6,0.3333333333333333,0.23,0.27218934911242604,0.23
7,0.5628997867803838,0.528,0.544891640866873,0.528
8,0.39447513812154694,0.357,0.37480314960629924,0.357
9,0.6394984326018809,0.816,0.7170474516695958,0.816
