Class,Precision,Recall,F1 Score,Accuracy
0,0.8403361344537815,0.9,0.8691453404152584,0.9
1,0.9909365558912386,0.984,0.9874560963371801,0.984
2,0.8356676003734828,0.895,0.8643167551907291,0.895
3,0.904390243902439,0.927,0.9155555555555556,0.927
4,0.8122151321786691,0.891,0.8497854077253219,0.891
5,0.9858442871587462,0.975,0.9803921568627451,0.975
6,0.8475274725274725,0.617,0.7141203703703703,0.617
7,0.9477756286266924,0.98,0.9636184857423795,0.98
8,0.974308300395257,0.986,0.9801192842942346,0.986
9,0.9744897959183674,0.955,0.9646464646464646,0.955
