Class,Precision,Recall,F1 Score,Accuracy
0,0.8178178178178178,0.817,0.817408704352176,0.817
1,0.9897540983606558,0.966,0.9777327935222672,0.966
2,0.7648165569143932,0.813,0.7881725642268541,0.813
3,0.8564593301435407,0.895,0.8753056234718827,0.895
4,0.7959183673469388,0.741,0.7674779906784049,0.741
5,0.9446064139941691,0.972,0.9581074420896993,0.972
6,0.6776519052523172,0.658,0.6676813800101471,0.658
7,0.9066293183940243,0.971,0.9377112506035732,0.971
8,0.9702380952380952,0.978,0.9741035856573705,0.978
9,0.9900771775082691,0.898,0.9417933927635029,0.898
