Class,Precision,Recall,F1 Score,Accuracy
0,0.6762295081967213,0.66,0.6680161943319838,0.66
1,0.8588899341486359,0.913,0.8851187590887057,0.913
2,0.6285714285714286,0.572,0.5989528795811518,0.572
3,0.5475460122699386,0.714,0.6197916666666666,0.714
4,0.6177285318559557,0.669,0.6423427748439751,0.669
5,0.8143322475570033,0.75,0.7808433107756377,0.75
6,0.5077138849929874,0.362,0.4226503210741389,0.362
7,0.8376313276026743,0.877,0.8568637029799707,0.877
8,0.8748674443266172,0.825,0.8492022645393721,0.825
9,0.8173076923076923,0.85,0.8333333333333334,0.85
