Class,Precision,Recall,F1 Score,Accuracy
0,1.0,1.0,1.0,1.0
1,1.0,0.9207317073170732,0.9587301587301588,0.9207317073170732
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,0.9393939393939394,0.9627329192546584,0.950920245398773,0.9627329192546584
6,1.0,0.9390243902439024,0.9685534591194969,0.9390243902439024
7,1.0,1.0,1.0,1.0
8,0.8586387434554974,1.0,0.923943661971831,1.0
9,1.0,0.9939024390243902,0.9969418960244648,0.9939024390243902
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,1.0,0.926829268292683,0.9620253164556962,0.926829268292683
13,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,1.0,0.993421052631579,0.9966996699669967,0.993421052631579
20,1.0,0.9698795180722891,0.9847094801223242,0.9698795180722891
21,0.9038461538461539,0.94,0.9215686274509803,0.94
22,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0
24,0.8556701030927835,1.0,0.9222222222222223,1.0
25,1.0,0.9939024390243902,0.9969418960244648,0.9939024390243902
26,1.0,1.0,1.0,1.0
27,0.9939393939393939,0.9879518072289156,0.9909365558912386,0.9879518072289156
28,1.0,1.0,1.0,1.0
29,0.9590163934426229,1.0,0.9790794979079498,1.0
30,1.0,1.0,1.0,1.0
31,0.9111111111111111,1.0,0.9534883720930233,1.0
32,1.0,0.7723577235772358,0.8715596330275229,0.7723577235772358
33,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0
36,0.9806451612903225,0.9934640522875817,0.987012987012987,0.9934640522875817
37,1.0,0.9518072289156626,0.9753086419753086,0.9518072289156626
38,1.0,1.0,1.0,1.0
39,1.0,0.62,0.7654320987654321,0.62
40,1.0,0.7402597402597403,0.8507462686567164,0.7402597402597403
41,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0
43,0.9923664122137404,1.0,0.9961685823754789,1.0
44,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0
46,1.0,0.7307692307692307,0.8444444444444444,0.7307692307692307
47,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0
49,0.7946428571428571,0.898989898989899,0.8436018957345972,0.898989898989899
50,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0
52,1.0,0.8536585365853658,0.9210526315789473,0.8536585365853658
53,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0
62,0.9540229885057471,1.0,0.9764705882352941,1.0
63,1.0,1.0,1.0,1.0
64,0.9751552795031055,1.0,0.9874213836477987,1.0
65,1.0,1.0,1.0,1.0
66,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0
