Class,Precision,Recall,F1 Score,Accuracy
0,1.0,1.0,1.0,1.0
1,1.0,0.6646341463414634,0.7985347985347986,0.6646341463414634
2,0.9482758620689655,0.7432432432432432,0.8333333333333334,0.7432432432432432
3,1.0,0.6875,0.8148148148148148,0.6875
4,0.9647058823529412,1.0,0.9820359281437125,1.0
5,0.805,1.0,0.8919667590027701,1.0
6,1.0,0.8841463414634146,0.9385113268608414,0.8841463414634146
7,0.6666666666666666,0.8947368421052632,0.7640449438202247,0.8947368421052632
8,1.0,0.8780487804878049,0.935064935064935,0.8780487804878049
9,0.8838709677419355,0.8353658536585366,0.8589341692789969,0.8353658536585366
10,1.0,0.5347222222222222,0.6968325791855203,0.5347222222222222
11,0.9485714285714286,1.0,0.9736070381231672,1.0
12,1.0,0.6280487804878049,0.7715355805243446,0.6280487804878049
13,0.9358974358974359,1.0,0.9668874172185431,1.0
14,0.9034749034749034,1.0,0.949290060851927,1.0
15,0.8159203980099502,1.0,0.8986301369863013,1.0
16,1.0,1.0,1.0,1.0
17,0.8924731182795699,1.0,0.9431818181818182,1.0
18,0.9918032786885246,0.7289156626506024,0.8402777777777778,0.7289156626506024
19,0.8782051282051282,0.9013157894736842,0.8896103896103896,0.9013157894736842
20,1.0,0.8253012048192772,0.9042904290429042,0.8253012048192772
21,0.6142857142857143,0.86,0.7166666666666667,0.86
22,0.9741379310344828,0.7337662337662337,0.837037037037037,0.7337662337662337
23,1.0,1.0,1.0,1.0
24,0.9764705882352941,1.0,0.9880952380952381,1.0
25,1.0,1.0,1.0,1.0
26,1.0,0.9939024390243902,0.9969418960244648,0.9939024390243902
27,1.0,0.8795180722891566,0.9358974358974359,0.8795180722891566
28,1.0,1.0,1.0,1.0
29,0.9512195121951219,1.0,0.975,1.0
30,1.0,1.0,1.0,1.0
31,0.9839357429718876,0.9959349593495935,0.98989898989899,0.9959349593495935
32,1.0,0.7032520325203252,0.8257756563245824,0.7032520325203252
33,1.0,0.9939024390243902,0.9969418960244648,0.9939024390243902
34,0.8677248677248677,1.0,0.9291784702549575,1.0
35,1.0,1.0,1.0,1.0
36,0.8383233532934131,0.9150326797385621,0.875,0.9150326797385621
37,1.0,0.9759036144578314,0.9878048780487805,0.9759036144578314
38,1.0,0.8975903614457831,0.946031746031746,0.8975903614457831
39,1.0,0.4,0.5714285714285714,0.4
40,0.9,0.7012987012987013,0.7883211678832117,0.7012987012987013
41,0.8620689655172413,1.0,0.9259259259259259,1.0
42,1.0,1.0,1.0,1.0
43,0.7166666666666667,0.9923076923076923,0.832258064516129,0.9923076923076923
44,1.0,0.8653846153846154,0.9278350515463918,0.8653846153846154
45,0.9757575757575757,0.9698795180722891,0.972809667673716,0.9698795180722891
46,0.9333333333333333,0.2692307692307692,0.417910447761194,0.2692307692307692
47,1.0,1.0,1.0,1.0
48,1.0,0.9957264957264957,0.9978586723768736,0.9957264957264957
49,1.0,0.6363636363636364,0.7777777777777778,0.6363636363636364
50,0.7614678899082569,1.0,0.8645833333333334,1.0
51,0.8840970350404312,1.0,0.9384835479256081,1.0
52,1.0,0.9146341463414634,0.9554140127388535,0.9146341463414634
53,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0
60,0.9637681159420289,0.8471337579617835,0.9016949152542373,0.8471337579617835
61,0.9940119760479041,1.0,0.996996996996997,1.0
